100100,6906204
100110,6859990
100310,6860091
100700,6860195
100710,6860194
101110,6944511
101500,6928389
101510,6928388
102300,6859991
104100,6944397
104110,6944398
104300,6948677
104310,6948676
106700,6803507
106810,6815725
106900,6936664
106910,6936661
107000,6936663
107010,6936662
107100,6941021
107110,6941017
107200,6941020
107210,6941019
107600,6948751
107610,6948750
107700,6936829
107710,6936828
107810,6936827
108500,6948831
108510,6948830
108700,6944403
108710,6944399
108800,6944402
108810,6944400
109000,6928275
109010,6928274
109100,6861834
109110,6861835
109200,6861869
109210,6861867
109220,6861868
110100,6862612
110110,6862611
110200,6862667
110210,6862666
110300,6928215
110310,6928214
112110,6862687
113700,6948829
113710,6948828
119010,6941013
120000,6825710
120200,6860319
120400,6928292
120700,
120800,
120900,
121000,
123800,
123810,
124210,
124400,
126710,
127100,
127200,
127310,
130100,6815582
130110,6815747
130200,6815627
130210,6815753
130300,6815637
130310,6815765
130400,6948904
130500,6815644
130510,6817346
130600,6804984
130610,6815708
130700,6815672
130710,6817343
130800,6815582
130810,6815747
130900,6822618
131100,6948717
131110,6948716
131500,6860093
131610,6859989
131700,6825624
132200,6932506
132210,6932505
132610,6860092
